Type,FSWP-8
Version,3.01
Date,18.May 2026
VSupply,OFF
Mode,Voltage
1.5667510033,-32.0480804443
1.5703628063,-32.3866271973
1.5739828348,-32.4215126038
1.5776112080,-32.4576568604
1.5812480450,-32.7862319946
1.5848932266,-32.8603744507
1.5885467529,-32.9711608887
1.5922087431,-33.1638641357
1.5958790779,-33.2589569092
1.5995579958,-33.4073333740
1.6032453775,-33.4179725647
1.6069412231,-33.6575469971
1.6106456518,-33.6720848083
1.6143585443,-33.7387886047
1.6180800200,-33.8730773926
1.6218100786,-33.9085197449
1.6255487204,-33.9620895386
1.6292960644,-34.0406837463
1.6330519915,-34.0511054993
1.6368165016,-34.0702362061
1.6405898333,-34.1041603088
1.6443717480,-34.1041603088
1.6481623650,-34.1227722168
1.6519618034,-34.1413879395
1.6557699442,-34.1904945374
1.6595869064,-34.2515907288
1.6634126902,-34.3126831055
1.6672471762,-34.4812355042
1.6710906029,-34.6563110352
1.6749428511,-34.8581428528
1.6788040400,-35.1776008606
1.6826740503,-35.4970512390
1.6865530014,-35.6152076721
1.6904408932,-35.6608657837
1.6943378448,-35.6779365540
1.6982436180,-35.7065238953
1.7021585703,-35.8644294739
1.7060823441,-35.8785209656
1.7100152969,-35.9415931702
1.7139573097,-36.0509223938
1.7179083824,-36.1854362488
1.7218686342,-36.3372612000
1.7258379459,-36.4227981567
1.7298164368,-36.4629554749
1.7338039875,-36.7923698425
1.7378008366,-36.7960090637
1.7418068647,-36.8002052307
1.7458221912,-36.8002052307
1.7498466969,-36.8002052307
1.7538805008,-36.8002052307
1.7579236031,-36.8002052307
1.7619761229,-36.8002052307
1.7660378218,-36.8099670410
1.7701089382,-36.8213768005
1.7741894722,-36.8702163696
1.7782794237,-36.8784523010
1.7823786736,-36.9522705078
1.7864875793,-36.9725685120
1.7906057835,-37.0331687927
1.7947336435,-37.0666809082
1.7988709211,-37.1063995361
1.8030177355,-37.1217956543
1.8071740866,-37.1796379089
1.8113400936,-37.1817169189
1.8155156374,-37.2495040894
1.8197008371,-37.2552070618
1.8238956928,-37.3029708862
1.8281002045,-37.3167304993
1.8323144913,-37.3177146912
1.8365383148,-37.3684196472
1.8407719135,-37.3906288147
1.8450154066,-37.4487686157
1.8492685556,-37.4487686157
1.8535315990,-37.4487686157
1.8578044176,-37.4487686157
1.8620871305,-37.4487686157
1.8663797379,-37.4487686157
1.8706822395,-37.4487686157
1.8749945164,-37.4487686157
1.8793168068,-37.4487686157
1.8836491108,-37.4487686157
1.8879913092,-37.4487686157
1.8923436403,-37.4487686157
1.8967058659,-37.4487686157
1.9010783434,-37.4487686157
1.9054607153,-37.4487686157
1.9098532200,-37.4828720093
1.9142559767,-37.5751152039
1.9186687469,-37.6000099182
1.9230917692,-37.6327667236
1.9275249243,-37.6665534973
1.9319683313,-37.7576522827
1.9364219904,-37.7677803040
1.9408857822,-37.7961044312
1.9453600645,-37.8193855286
1.9498445988,-37.8244285583
1.9543395042,-38.1101341248
1.9588446617,-38.4008750916
1.9633603096,-38.7659225464
1.9678863287,-39.0816421509
1.9724227190,-39.0863800049
1.9769695997,-39.0911178589
1.9815269709,-39.1674499512
1.9860949516,-39.1680259705
1.9906733036,-39.1694717407
1.9952623844,-39.2612266541
1.9998618364,-39.2621078491
2.0044720173,-39.4007339478
2.0090928078,-39.4154205322
2.0137240887,-39.5708084106
2.0183663368,-39.5799331665
2.0230190754,-39.5945243835
2.0276827812,-39.7705764771
2.0323569775,-39.8030624390
2.0370419025,-40.0147399902
2.0417380333,-40.0147399902
2.0464446545,-40.0147399902
2.0511622429,-40.0147399902
2.0558905602,-40.0147399902
2.0606298447,-40.0196037292
2.0653800964,-40.0378112793
2.0701413155,-40.0463485718
2.0749135017,-40.2042198181
2.0796966553,-40.2838706970
2.0844910145,-40.2873497009
2.0892961025,-40.2930870056
